Packet, Sample offset, Latency (ms), Sample
1, 0, 0.0, 0111 1110 1111 1110 
1, 1, 0.001, 0000 0001 1000 0001 
1, 82, 0.082, 0111 1110 1111 1110 
1, 105, 0.105, 0111 1110 0111 1110 
1, 3785, 3.785, 0111 1110 1111 1110 
1, 4097, 4.097, 0000 0001 1000 0001 
1, 4159, 4.159, 0111 1110 0111 1110 
1, 77261, 77.261, 0111 1110 1111 1110 
1, 77401, 77.401, 1111 1110 1111 1110 
1, 77707, 77.707, 0111 1110 0111 1110 
1, 78042, 78.042, 0000 0000 0000 0000 
2, 0, 0.0, 1111 1110 1111 1110 
2, 1, 0.001, 1000 0001 1000 0001 
2, 20, 0.02, 1000 0001 0000 0001 
2, 75, 0.075, 1111 1110 0111 1110 
2, 311, 0.311, 1111 1110 1111 1110 
2, 652, 0.652, 1111 1110 0111 1110 
2, 1313, 1.313, 1111 1110 1111 1110 
2, 1606, 1.606, 1111 1110 0111 1110 
2, 2382, 2.382, 1111 1110 1111 1110 
2, 2588, 2.588, 1111 1110 0111 1110 
2, 3309, 3.309, 1111 1110 1111 1110 
2, 3471, 3.471, 1111 1110 0111 1110 
2, 3978, 3.978, 1111 1110 1111 1110 
2, 4097, 4.097, 1000 0001 1000 0001 
2, 4116, 4.116, 1000 0001 0000 0001 
2, 4171, 4.171, 1111 1110 0111 1110 
2, 9168, 9.168, 1111 1110 1111 1110 
2, 9304, 9.304, 1111 1110 0111 1110 
2, 9579, 9.579, 0111 1110 1111 1110 
2, 10255, 10.255, 1111 1110 0111 1110 
2, 10484, 10.484, 0000 0000 0000 0000 
3, 0, 0.0, 0111 1110 1111 1110 
3, 1, 0.001, 0000 0001 1000 0001 
3, 20, 0.02, 0000 0001 0000 0001 
3, 69, 0.069, 0111 1110 0111 1110 
3, 296, 0.296, 0111 1110 1111 1110 
3, 620, 0.62, 0111 1110 0111 1110 
3, 1217, 1.217, 0111 1110 1111 1110 
3, 1482, 1.482, 0111 1110 0111 1110 
3, 2107, 2.107, 0111 1110 1111 1110 
3, 2349, 2.349, 0111 1110 0111 1110 
3, 3045, 3.045, 0111 1110 1111 1110 
3, 3241, 3.241, 0111 1110 0111 1110 
3, 3765, 3.765, 0111 1110 1111 1110 
3, 4097, 4.097, 0000 0001 1000 0001 
3, 4111, 4.111, 0111 1110 0111 1110 
3, 53241, 53.241, 0111 1110 1111 1110 
3, 53381, 53.381, 1111 1110 1111 1110 
3, 53732, 53.732, 0111 1110 0111 1110 
3, 54037, 54.037, 0000 0000 0000 0000 
4, 0, 0.0, 0000 0001 0000 0001 
4, 20, 0.02, 0000 0001 1000 0001 
4, 66, 0.066, 0111 1110 1111 1110 
4, 268, 0.268, 1111 1110 1111 1110 
4, 633, 0.633, 0111 1110 1111 1110 
4, 1266, 1.266, 1111 1110 1111 1110 
4, 1618, 1.618, 0111 1110 1111 1110 
4, 2350, 2.35, 1111 1110 1111 1110 
4, 2576, 2.576, 0111 1110 1111 1110 
4, 3338, 3.338, 1111 1110 1111 1110 
4, 3536, 3.536, 0111 1110 1111 1110 
4, 4156, 4.156, 0000 0001 1000 0001 
4, 4162, 4.162, 0111 1110 1111 1110 
4, 108703, 108.703, 1111 1110 0111 1110 
4, 109326, 109.326, 0111 1110 1111 1110 
4, 109509, 109.509, 0000 0000 0000 0000 
5, 0, 0.0, 1111 1110 0111 1110 
5, 1, 0.001, 1000 0001 0000 0001 
5, 21, 0.021, 1000 0001 1000 0001 
5, 62, 0.062, 1111 1110 1111 1110 
5, 307, 0.307, 1111 1110 0111 1110 
5, 613, 0.613, 1111 1110 1111 1110 
5, 1224, 1.224, 1111 1110 0111 1110 
5, 1493, 1.493, 1111 1110 1111 1110 
5, 2220, 2.22, 1111 1110 0111 1110 
5, 2435, 2.435, 1111 1110 1111 1110 
